DT,CUST_ID,PROD_ID,PROD_AGE,PROD_TYPE,PRICE,QUANTITY,REVENUE
24-01-2005,W005ES,TRFO004,0,Seeds,0.30,1510,457.75
24-01-2005,R003SE,TRTA018,3-5,Plants,38.56,2,77.11
24-01-2005,R005IE,YUEL002,6-10,Plants,63.03,2,126.07
24-01-2005,W011NL,TRFO004,3-5,Plants,24.55,114,2799.23
24-01-2005,W005ES,TRFO004,0,Seeds,0.30,1680,509.28
24-01-2005,W006PL,CHEL014,6-10,Plants,113.01,3,339.02
25-01-2005,R003SE,SYRO011,0,Seeds,0.41,10,4.11
25-01-2005,W004NL,ARCA006,0,Seeds,0.34,30,10.27
26-01-2005,W009PL,PHRO012,0,Seeds,0.42,230,96.94
26-01-2005,W002UK,CHHU007,0,Seeds,0.36,130,46.61
26-01-2005,R002UK,SERE013,0,Seeds,0.43,30,12.95
27-01-2005,W016PT,HOBE016,0,Seeds,0.46,250,114.87
27-01-2005,W010AU,SYRO011,1-2,Plants,6.57,134,880.38
27-01-2005,W006PL,RHHY001,6-10,Plants,51.20,7,358.40
27-01-2005,R005IE,WAFI003,21-100,Plants,360.39,1,360.39
31-01-2005,R001UK,CHHU007,1-2,Plants,5.74,1,5.74
01-02-2005,W003IT,PHRO012,0,Seeds,0.42,490,206.53
01-02-2005,R004UK,HOBE016,6-10,Plants,117.63,1,117.63
02-02-2005,W004NL,YUEL002,0,Seeds,0.25,20,4.92
02-02-2005,R001UK,NARI005,0,Seeds,0.32,10,3.24
03-02-2005,R002UK,MUBA009,0,Seeds,0.39,10,3.87
03-02-2005,R002UK,CHEL014,6-10,Plants,113.01,1,113.01
03-02-2005,W005ES,RHHY001,21-100,Plants,259.20,2,518.40
03-02-2005,R001UK,YUEL002,11-20,Plants,153.89,1,153.89
04-02-2005,R001UK,CHEL014,6-10,Plants,113.01,2,226.02
04-02-2005,W007GE,SAMI008,0,Seeds,0.37,340,126.89
04-02-2005,W004NL,CHHU007,3-5,Plants,29.04,4,116.17
05-02-2005,W001UK,CONU019,11-20,Plants,302.37,3,907.10
08-02-2005,W001UK,CHEL014,0,Seeds,0.44,240,105.94
08-02-2005,W009PL,SYRO011,1-2,Plants,6.57,33,216.81
09-02-2005,R003SE,LIAU017,0,Seeds,0.47,20,9.36
09-02-2005,W008US,LIAU017,6-10,Plants,119.79,55,6588.21
09-02-2005,R004UK,CHHU007,11-20,Plants,224.10,1,224.10
10-02-2005,W004NL,WAFI003,0,Seeds,0.28,150,41.71
10-02-2005,W009PL,TRFO004,11-20,Plants,189.46,14,2652.50
11-02-2005,R001UK,CHEL014,0,Seeds,0.44,20,8.83
11-02-2005,W005ES,CONU019,11-20,Plants,302.37,2,604.74
11-02-2005,W004NL,LOMA022,11-20,Plants,315.96,1,315.96
12-02-2005,W013NO,TRTA018,0,Seeds,0.48,310,147.56
12-02-2005,W004NL,SERE013,6-10,Plants,110.52,5,552.62
14-02-2005,R002UK,PHRO012,11-20,Plants,263.43,1,263.43
14-02-2005,W006PL,RORE020,21-100,Plants,636.71,3,1910.14
15-02-2005,W003IT,CONU019,0,Seeds,0.48,2160,1044.98
15-02-2005,R004UK,ARCA006,0,Seeds,0.34,10,3.42
15-02-2005,W007GE,YUEL002,1-2,Plants,3.94,1,3.94
16-02-2005,W004NL,CHHU007,1-2,Plants,5.74,9,51.63
16-02-2005,R003SE,PHRO012,21-100,Plants,546.25,1,546.25
17-02-2005,W016PT,NARI005,0,Seeds,0.32,1060,343.58
17-02-2005,W008US,WAFI003,21-100,Plants,360.39,12,4324.67
17-02-2005,W004NL,CONU019,11-20,Plants,302.37,3,907.10
18-02-2005,R003SE,WAFI003,11-20,Plants,173.80,1,173.80
18-02-2005,W009PL,SAMI008,0,Seeds,0.37,790,294.84
21-02-2005,W009PL,PHRO012,11-20,Plants,263.43,8,2107.44
21-02-2005,W002UK,RHHY001,1-2,Plants,3.20,7,22.40
21-02-2005,R002UK,SAMI008,0,Seeds,0.37,20,7.46
21-02-2005,W010AU,CHEL014,0,Seeds,0.44,1950,860.80
21-02-2005,W001UK,RORE020,0,Seeds,0.49,440,216.17
23-02-2005,W003IT,SYRO011,6-10,Plants,105.12,70,7358.44
24-02-2005,W002UK,CHMI015,0,Seeds,0.45,50,22.53
24-02-2005,R002UK,SERE013,0,Seeds,0.43,10,4.32
24-02-2005,R005IE,MUBA009,1-2,Plants,6.19,1,6.19
25-02-2005,R002UK,HOBE016,21-100,Plants,595.49,1,595.49
25-02-2005,W003IT,CONU019,0,Seeds,0.48,80,38.70
25-02-2005,R002UK,RORE020,21-100,Plants,636.71,1,636.71
25-02-2005,R001UK,SAMI008,1-2,Plants,5.97,1,5.97
26-02-2005,R004UK,MUAC021,21-100,Plants,646.10,1,646.10
28-02-2005,W010AU,WAFI003,6-10,Plants,71.19,41,2918.70
28-02-2005,W015GR,LIAU017,0,Seeds,0.47,500,233.96
28-02-2005,R002UK,SYRO011,0,Seeds,0.41,10,4.11
28-02-2005,W010AU,PHRO012,0,Seeds,0.42,1510,636.45
28-02-2005,W004NL,WAFI003,0,Seeds,0.28,180,50.05
01-03-2005,W006PL,CONU019,0,Seeds,0.48,70,33.87
01-03-2005,W015GR,PHRO012,0,Seeds,0.42,330,139.09
01-03-2005,W002UK,TRTA018,0,Seeds,0.48,350,166.60
02-03-2005,R003SE,TRTA018,0,Seeds,0.48,20,9.52
02-03-2005,W003IT,NARI005,1-2,Plants,5.19,104,539.35
02-03-2005,R001UK,PHRO012,0,Seeds,0.42,10,4.21
03-03-2005,W003IT,HOBE016,1-2,Plants,7.35,125,918.96
03-03-2005,R002UK,RORE020,6-10,Plants,125.77,1,125.77
04-03-2005,W003IT,ARCA006,3-5,Plants,27.73,6,166.38
04-03-2005,W002UK,MUAC021,0,Seeds,0.50,10,4.99
04-03-2005,W008US,CONU019,1-2,Plants,7.74,190,1470.72
05-03-2005,R003SE,MUAC021,0,Seeds,0.50,10,4.99
07-03-2005,W008US,CHHU007,0,Seeds,0.36,350,125.50
07-03-2005,W007GE,ARCA006,0,Seeds,0.34,200,68.47
07-03-2005,W003IT,CHEL014,21-100,Plants,572.10,30,17163.06
07-03-2005,R004UK,SYRO011,0,Seeds,0.41,30,12.32
08-03-2005,W003IT,ARCA006,1-2,Plants,5.48,12,65.73
08-03-2005,W011NL,CHMI015,0,Seeds,0.45,250,112.67
08-03-2005,R002UK,TRFO004,1-2,Plants,4.85,3,14.55
09-03-2005,W008US,CHHU007,21-100,Plants,464.69,13,6040.99
09-03-2005,W005ES,SYRO011,0,Seeds,0.41,180,73.91
09-03-2005,W002UK,TRTA018,0,Seeds,0.48,70,33.32
09-03-2005,W014FI,SAMI008,21-100,Plants,483.68,1,483.68
10-03-2005,R001UK,CHHU007,3-5,Plants,29.04,1,29.04
10-03-2005,W002UK,RHHY001,0,Seeds,0.20,100,20.00
10-03-2005,W001UK,WAFI003,6-10,Plants,71.19,8,569.50
10-03-2005,W002UK,MUAC021,0,Seeds,0.50,180,89.74
15-03-2005,W002UK,NARI005,0,Seeds,0.32,160,51.86
15-03-2005,W006PL,SYRO011,0,Seeds,0.41,250,102.66
15-03-2005,W005ES,NARI005,0,Seeds,0.32,970,314.41
15-03-2005,W001UK,SERE013,0,Seeds,0.43,150,64.76
15-03-2005,W008US,LIAU017,1-2,Plants,7.49,116,868.45
15-03-2005,R001UK,TRFO004,6-10,Plants,77.60,1,77.60
16-03-2005,W005ES,RORE020,0,Seeds,0.49,310,152.30
17-03-2005,W006PL,HOBE016,21-100,Plants,595.49,2,1190.97
17-03-2005,R005IE,LIAU017,21-100,Plants,606.41,1,606.41
17-03-2005,R003SE,PHRO012,0,Seeds,0.42,30,12.64
18-03-2005,W004NL,TRFO004,1-2,Plants,4.85,4,19.40
19-03-2005,W007GE,CONU019,21-100,Plants,626.99,2,1253.98
22-03-2005,W006PL,CHMI015,0,Seeds,0.45,50,22.53
22-03-2005,W012UK,TRTA018,11-20,Plants,297.50,3,892.51
23-03-2005,W010AU,CHHU007,0,Seeds,0.36,1710,613.13
24-03-2005,R002UK,NARI005,0,Seeds,0.32,20,6.48
24-03-2005,W005ES,SYRO011,0,Seeds,0.41,1320,542.03
24-03-2005,R003SE,MUAC021,0,Seeds,0.50,20,9.97
25-03-2005,W007GE,ARCA006,0,Seeds,0.34,380,130.09
25-03-2005,W007GE,LIAU017,3-5,Plants,37.90,2,75.80
25-03-2005,W003IT,CONU019,21-100,Plants,626.99,13,8150.88
26-03-2005,R003SE,CHMI015,0,Seeds,0.45,40,18.03
28-03-2005,W005ES,RORE020,11-20,Plants,307.06,20,6141.14
29-03-2005,W003IT,SERE013,0,Seeds,0.43,900,388.56
30-03-2005,R001UK,CHHU007,3-5,Plants,29.04,2,58.09
30-03-2005,W004NL,SYRO011,3-5,Plants,33.26,2,66.52
31-03-2005,R003SE,TRTA018,6-10,Plants,121.86,1,121.86
31-03-2005,W016PT,SERE013,6-10,Plants,110.52,44,4863.02
01-04-2005,W001UK,RHHY001,0,Seeds,0.20,60,12.00
01-04-2005,W004NL,TRTA018,1-2,Plants,7.62,15,114.24
04-04-2005,W003IT,MUAC021,1-2,Plants,7.98,173,1379.95
04-04-2005,W001UK,SYRO011,11-20,Plants,256.64,3,769.93
04-04-2005,W003IT,TRTA018,0,Seeds,0.48,460,218.96
04-04-2005,W010AU,TRFO004,21-100,Plants,392.87,2,785.75
04-04-2005,R003SE,PHRO012,21-100,Plants,546.25,1,546.25
05-04-2005,W002UK,SERE013,1-2,Plants,6.91,2,13.82
07-04-2005,W015GR,MUAC021,0,Seeds,0.50,1080,538.42
07-04-2005,W007GE,LIAU017,0,Seeds,0.47,10,4.68
07-04-2005,R001UK,CHMI015,11-20,Plants,281.67,1,281.67
07-04-2005,R001UK,ARCA006,0,Seeds,0.34,30,10.27
07-04-2005,W006PL,YUEL002,0,Seeds,0.25,280,68.94
08-04-2005,R005IE,CHMI015,3-5,Plants,36.50,1,36.50
08-04-2005,R005IE,SERE013,0,Seeds,0.43,10,4.32
08-04-2005,W013NO,TRFO004,1-2,Plants,4.85,17,82.45
11-04-2005,W014FI,SYRO011,0,Seeds,0.41,210,86.23
11-04-2005,W004NL,TRTA018,0,Seeds,0.48,220,104.72
11-04-2005,W004NL,LOMA022,0,Seeds,0.51,50,25.28
11-04-2005,W001UK,MUBA009,0,Seeds,0.39,190,73.46
11-04-2005,W006PL,TRTA018,11-20,Plants,297.50,3,892.51
13-04-2005,W002UK,MUBA009,11-20,Plants,241.65,1,241.65
13-04-2005,R002UK,SYRO011,0,Seeds,0.41,40,16.43
13-04-2005,W001UK,LIAU017,0,Seeds,0.47,140,65.51
14-04-2005,R001UK,SYRO011,0,Seeds,0.41,20,8.21
14-04-2005,R001UK,CHMI015,0,Seeds,0.45,10,4.51
14-04-2005,R003SE,TRTA018,0,Seeds,0.48,20,9.52
16-04-2005,R003SE,RORE020,0,Seeds,0.49,10,4.91
18-04-2005,W001UK,HOBE016,11-20,Plants,287.17,9,2584.57
18-04-2005,W011NL,TRTA018,0,Seeds,0.48,960,456.97
18-04-2005,W015GR,SYRO011,0,Seeds,0.41,1510,620.05
19-04-2005,R005IE,CHHU007,0,Seeds,0.36,30,10.76
19-04-2005,R001UK,RHHY001,6-10,Plants,51.20,1,51.20
20-04-2005,W012UK,RORE020,0,Seeds,0.49,400,196.52
21-04-2005,W001UK,YUEL002,0,Seeds,0.25,110,27.09
21-04-2005,W016PT,SYRO011,0,Seeds,0.41,140,57.49
21-04-2005,W009PL,RORE020,0,Seeds,0.49,1120,550.25
21-04-2005,R001UK,MUAC021,0,Seeds,0.50,10,4.99
21-04-2005,W003IT,MUBA009,1-2,Plants,6.19,39,241.26
21-04-2005,R001UK,CHMI015,3-5,Plants,36.50,1,36.50
22-04-2005,W008US,RORE020,0,Seeds,0.49,1200,589.55
22-04-2005,W004NL,PHRO012,0,Seeds,0.42,350,147.52
22-04-2005,W001UK,CHEL014,0,Seeds,0.44,20,8.83
23-04-2005,R002UK,RORE020,21-100,Plants,636.71,1,636.71
25-04-2005,R005IE,YUEL002,11-20,Plants,153.89,1,153.89
25-04-2005,W003IT,PHRO012,0,Seeds,0.42,940,396.20
26-04-2005,R001UK,LIAU017,11-20,Plants,292.45,2,584.89
26-04-2005,R004UK,ARCA006,3-5,Plants,27.73,2,55.46
26-04-2005,W012UK,LIAU017,0,Seeds,0.47,10,4.68
26-04-2005,W001UK,HOBE016,0,Seeds,0.46,10,4.59
26-04-2005,R003SE,MUBA009,6-10,Plants,98.98,1,98.98
28-04-2005,W002UK,LIAU017,6-10,Plants,119.79,10,1197.86
29-04-2005,W001UK,HOBE016,0,Seeds,0.46,100,45.95
30-04-2005,R002UK,NARI005,11-20,Plants,202.58,1,202.58
02-05-2005,W005ES,MUAC021,21-100,Plants,646.10,12,7753.22
02-05-2005,W004NL,YUEL002,11-20,Plants,153.89,2,307.79
03-05-2005,W002UK,HOBE016,0,Seeds,0.46,100,45.95
04-05-2005,W004NL,TRFO004,6-10,Plants,77.60,8,620.84
04-05-2005,R003SE,LIAU017,0,Seeds,0.47,30,14.04
04-05-2005,R004UK,PHRO012,0,Seeds,0.42,50,21.07
04-05-2005,W004NL,CONU019,0,Seeds,0.48,30,14.51
05-05-2005,W003IT,CYRE010,21-100,Plants,517.17,18,9309.10
05-05-2005,R003SE,SERE013,0,Seeds,0.43,20,8.63
05-05-2005,W016PT,MUAC021,3-5,Plants,40.38,36,1453.73
06-05-2005,W003IT,SERE013,3-5,Plants,34.97,32,1119.05
09-05-2005,W006PL,NARI005,0,Seeds,0.32,270,87.52
09-05-2005,W002UK,SYRO011,0,Seeds,0.41,230,94.44
10-05-2005,R002UK,RHHY001,6-10,Plants,51.20,1,51.20
10-05-2005,R005IE,SYRO011,0,Seeds,0.41,40,16.43
10-05-2005,W008US,CHMI015,0,Seeds,0.45,1020,459.68
10-05-2005,W008US,CYRE010,3-5,Plants,32.32,10,323.23
11-05-2005,W010AU,TRFO004,6-10,Plants,77.60,61,4733.89
11-05-2005,R002UK,SYRO011,11-20,Plants,256.64,1,256.64
12-05-2005,R002UK,MUBA009,6-10,Plants,98.98,1,98.98
12-05-2005,R001UK,WAFI003,0,Seeds,0.28,10,2.78
12-05-2005,R001UK,LIAU017,1-2,Plants,7.49,4,29.95
13-05-2005,R002UK,SYRO011,0,Seeds,0.41,20,8.21
13-05-2005,W007GE,RHHY001,11-20,Plants,125.00,7,875.00
14-05-2005,W005ES,SYRO011,0,Seeds,0.41,930,381.88
17-05-2005,W003IT,PHRO012,6-10,Plants,107.90,77,8308.36
18-05-2005,W004NL,SAMI008,0,Seeds,0.37,30,11.20
18-05-2005,W005ES,RHHY001,0,Seeds,0.20,60,12.00
19-05-2005,W016PT,YUEL002,3-5,Plants,19.94,38,757.89
19-05-2005,R001UK,TRTA018,1-2,Plants,7.62,1,7.62
19-05-2005,R004UK,CHHU007,21-100,Plants,464.69,1,464.69
23-05-2005,W007GE,CONU019,11-20,Plants,302.37,4,1209.47
23-05-2005,W012UK,NARI005,0,Seeds,0.32,170,55.10
23-05-2005,W004NL,CHHU007,11-20,Plants,224.10,6,1344.59
24-05-2005,W002UK,RHHY001,0,Seeds,0.20,320,64.00
24-05-2005,W007GE,CHHU007,0,Seeds,0.36,180,64.54
25-05-2005,W011NL,NARI005,0,Seeds,0.32,420,136.14
25-05-2005,R003SE,CHHU007,11-20,Plants,224.10,1,224.10
26-05-2005,W005ES,SERE013,0,Seeds,0.43,370,159.74
26-05-2005,W008US,WAFI003,0,Seeds,0.28,1450,403.21
26-05-2005,R001UK,ARCA006,11-20,Plants,213.97,1,213.97
26-05-2005,W012UK,SERE013,0,Seeds,0.43,10,4.32
27-05-2005,R004UK,PHRO012,0,Seeds,0.42,10,4.21
27-05-2005,W007GE,CHEL014,6-10,Plants,113.01,2,226.02
27-05-2005,R002UK,RORE020,6-10,Plants,125.77,1,125.77
29-05-2005,W013NO,SERE013,0,Seeds,0.43,310,133.84
30-05-2005,R001UK,SYRO011,1-2,Plants,6.57,2,13.14
30-05-2005,R004UK,CYRE010,0,Seeds,0.40,10,3.99
30-05-2005,W012UK,RORE020,0,Seeds,0.49,270,132.65
30-05-2005,W008US,SERE013,0,Seeds,0.43,890,384.24
30-05-2005,W007GE,NARI005,0,Seeds,0.32,30,9.72
01-06-2005,R004UK,LIAU017,0,Seeds,0.47,20,9.36
02-06-2005,W006PL,CHEL014,3-5,Plants,35.76,5,178.78
02-06-2005,R002UK,SYRO011,6-10,Plants,105.12,1,105.12
03-06-2005,R005IE,LIAU017,11-20,Plants,292.45,1,292.45
03-06-2005,R004UK,CONU019,1-2,Plants,7.74,5,38.70
06-06-2005,W005ES,TRFO004,21-100,Plants,392.87,17,6678.85
06-06-2005,W004NL,RORE020,0,Seeds,0.49,230,113.00
07-06-2005,W002UK,MUBA009,0,Seeds,0.39,150,58.00
07-06-2005,W002UK,LOMA022,0,Seeds,0.51,60,30.33
08-06-2005,R004UK,TRFO004,11-20,Plants,189.46,1,189.46
09-06-2005,R001UK,HOBE016,0,Seeds,0.46,20,9.19
09-06-2005,W011NL,MUAC021,0,Seeds,0.50,230,114.66
09-06-2005,W004NL,MUBA009,0,Seeds,0.39,110,42.53
13-06-2005,R004UK,NARI005,0,Seeds,0.32,10,3.24
13-06-2005,W005ES,CHHU007,0,Seeds,0.36,570,204.38
13-06-2005,W007GE,RORE020,0,Seeds,0.49,290,142.47
13-06-2005,W008US,CHMI015,1-2,Plants,7.21,93,670.59
14-06-2005,R003SE,PHRO012,1-2,Plants,6.74,2,13.49
15-06-2005,W001UK,CHEL014,6-10,Plants,113.01,6,678.05
15-06-2005,R001UK,RHHY001,0,Seeds,0.20,20,4.00
15-06-2005,W001UK,ARCA006,0,Seeds,0.34,50,17.12
16-06-2005,W005ES,HOBE016,0,Seeds,0.46,420,192.98
16-06-2005,R005IE,TRTA018,21-100,Plants,616.90,1,616.90
16-06-2005,R002UK,PHRO012,1-2,Plants,6.74,6,40.46
16-06-2005,W005ES,TRFO004,21-100,Plants,392.87,11,4321.61
16-06-2005,W006PL,RORE020,0,Seeds,0.49,70,34.39
17-06-2005,R002UK,WAFI003,0,Seeds,0.28,20,5.56
20-06-2005,R001UK,SERE013,0,Seeds,0.43,10,4.32
20-06-2005,R002UK,CONU019,0,Seeds,0.48,10,4.84
20-06-2005,W002UK,RHHY001,0,Seeds,0.20,80,16.00
20-06-2005,W001UK,CHEL014,0,Seeds,0.44,220,97.12
20-06-2005,W004NL,RORE020,6-10,Plants,125.77,4,503.08
21-06-2005,W014FI,TRTA018,0,Seeds,0.48,30,14.28
21-06-2005,R004UK,LIAU017,1-2,Plants,7.49,2,14.97
21-06-2005,W008US,LIAU017,11-20,Plants,292.45,22,6433.80
22-06-2005,W005ES,PHRO012,6-10,Plants,107.90,14,1510.61
22-06-2005,R003SE,SYRO011,0,Seeds,0.41,10,4.11
22-06-2005,R005IE,LOMA022,3-5,Plants,40.95,1,40.95
22-06-2005,W004NL,TRTA018,1-2,Plants,7.62,2,15.23
23-06-2005,W003IT,SERE013,0,Seeds,0.43,1640,708.04
23-06-2005,W002UK,TRFO004,0,Seeds,0.30,130,39.41
23-06-2005,W003IT,TRFO004,6-10,Plants,77.60,12,931.26
24-06-2005,W001UK,WAFI003,0,Seeds,0.28,150,41.71
24-06-2005,R004UK,HOBE016,0,Seeds,0.46,20,9.19
26-06-2005,R002UK,MUAC021,3-5,Plants,40.38,3,121.14
27-06-2005,R003SE,CYRE010,1-2,Plants,6.38,7,44.69
27-06-2005,W006PL,NARI005,0,Seeds,0.32,80,25.93
28-06-2005,W015GR,SERE013,0,Seeds,0.43,470,202.91
28-06-2005,W015GR,SYRO011,11-20,Plants,256.64,2,513.28
29-06-2005,W005ES,LIAU017,1-2,Plants,7.49,144,1078.07
29-06-2005,R005IE,SERE013,0,Seeds,0.43,20,8.63
29-06-2005,W009PL,PHRO012,3-5,Plants,34.14,34,1160.78
29-06-2005,W011NL,RHHY001,3-5,Plants,16.20,69,1117.80
30-06-2005,R005IE,CHEL014,0,Seeds,0.44,30,13.24
30-06-2005,R004UK,LIAU017,1-2,Plants,7.49,1,7.49
30-06-2005,R005IE,CHEL014,11-20,Plants,275.90,1,275.90
01-07-2005,W004NL,TRTA018,0,Seeds,0.48,50,23.80
05-07-2005,R005IE,MUBA009,0,Seeds,0.39,10,3.87
05-07-2005,W009PL,MUAC021,0,Seeds,0.50,830,413.78
05-07-2005,R004UK,TRTA018,0,Seeds,0.48,20,9.52
05-07-2005,R002UK,LIAU017,3-5,Plants,37.90,1,37.90
06-07-2005,W003IT,TRFO004,3-5,Plants,24.55,28,687.53
06-07-2005,W004NL,NARI005,11-20,Plants,202.58,4,810.33
06-07-2005,R003SE,SERE013,6-10,Plants,110.52,1,110.52
06-07-2005,W009PL,TRTA018,0,Seeds,0.48,560,266.56
06-07-2005,R001UK,CHHU007,0,Seeds,0.36,10,3.59
07-07-2005,W002UK,HOBE016,6-10,Plants,117.63,13,1529.15
07-07-2005,W001UK,CHEL014,3-5,Plants,35.76,11,393.32
08-07-2005,W013NO,PHRO012,0,Seeds,0.42,100,42.15
08-07-2005,W007GE,LIAU017,0,Seeds,0.47,280,131.02
08-07-2005,W005ES,WAFI003,1-2,Plants,4.45,126,560.60
08-07-2005,R001UK,CONU019,11-20,Plants,302.37,1,302.37
11-07-2005,W008US,PHRO012,11-20,Plants,263.43,34,8956.60
11-07-2005,W004NL,SYRO011,0,Seeds,0.41,10,4.11
11-07-2005,W014FI,TRTA018,0,Seeds,0.48,250,119.00
11-07-2005,R005IE,RHHY001,0,Seeds,0.20,10,2.00
12-07-2005,W006PL,YUEL002,0,Seeds,0.25,50,12.31
12-07-2005,R001UK,NARI005,1-2,Plants,5.19,2,10.37
14-07-2005,R001UK,YUEL002,1-2,Plants,3.94,4,15.76
15-07-2005,R003SE,RHHY001,0,Seeds,0.20,30,6.00
15-07-2005,W001UK,MUAC021,21-100,Plants,646.10,1,646.10
18-07-2005,W013NO,RHHY001,0,Seeds,0.20,460,92.00
18-07-2005,W003IT,HOBE016,0,Seeds,0.46,270,124.06
19-07-2005,R003SE,ARCA006,0,Seeds,0.34,10,3.42
20-07-2005,W007GE,LIAU017,1-2,Plants,7.49,29,217.11
20-07-2005,R003SE,TRTA018,0,Seeds,0.48,30,14.28
20-07-2005,W007GE,YUEL002,11-20,Plants,153.89,3,461.68
21-07-2005,W004NL,CHEL014,0,Seeds,0.44,10,4.41
22-07-2005,R002UK,PHRO012,1-2,Plants,6.74,4,26.98
22-07-2005,W009PL,TRFO004,6-10,Plants,77.60,18,1396.88
22-07-2005,W005ES,TRFO004,0,Seeds,0.30,940,284.95
22-07-2005,W015GR,MUAC021,0,Seeds,0.50,1000,498.54
22-07-2005,R004UK,HOBE016,0,Seeds,0.46,10,4.59
22-07-2005,W002UK,ARCA006,3-5,Plants,27.73,26,721.00
22-07-2005,W014FI,SAMI008,0,Seeds,0.37,90,33.59
23-07-2005,R005IE,RHHY001,21-100,Plants,259.20,1,259.20
23-07-2005,R001UK,YUEL002,6-10,Plants,63.03,1,63.03
25-07-2005,W003IT,HOBE016,0,Seeds,0.46,10,4.59
26-07-2005,R003SE,TRTA018,0,Seeds,0.48,30,14.28
27-07-2005,W006PL,TRTA018,0,Seeds,0.48,270,128.52
28-07-2005,R001UK,HOBE016,0,Seeds,0.46,30,13.78
28-07-2005,W007GE,NARI005,0,Seeds,0.32,210,68.07
28-07-2005,W008US,CONU019,6-10,Plants,123.85,6,743.10
29-07-2005,R001UK,ARCA006,0,Seeds,0.34,10,3.42
29-07-2005,R002UK,NARI005,6-10,Plants,82.98,2,165.96
30-07-2005,R004UK,MUAC021,0,Seeds,0.50,20,9.97
01-08-2005,W004NL,SERE013,6-10,Plants,110.52,2,221.05
01-08-2005,W008US,TRFO004,0,Seeds,0.30,1570,475.94
02-08-2005,W003IT,RHHY001,0,Seeds,0.20,1120,224.00
04-08-2005,R001UK,YUEL002,21-100,Plants,319.11,1,319.11
05-08-2005,W005ES,CHMI015,0,Seeds,0.45,560,252.37
05-08-2005,R002UK,PHRO012,0,Seeds,0.42,10,4.21
05-08-2005,R001UK,MUAC021,6-10,Plants,127.62,1,127.62
05-08-2005,R004UK,SAMI008,0,Seeds,0.37,40,14.93
06-08-2005,W008US,HOBE016,0,Seeds,0.46,390,179.20
08-08-2005,W015GR,CHMI015,0,Seeds,0.45,110,49.57
08-08-2005,W007GE,PHRO012,0,Seeds,0.42,70,29.50
08-08-2005,R001UK,WAFI003,0,Seeds,0.28,40,11.12
09-08-2005,W002UK,YUEL002,0,Seeds,0.25,10,2.46
09-08-2005,R005IE,ARCA006,0,Seeds,0.34,10,3.42
09-08-2005,R001UK,MUAC021,3-5,Plants,40.38,4,161.53
09-08-2005,W001UK,MUAC021,0,Seeds,0.50,480,239.30
